y,F1,F2,F3,F4
6,3,0.041381836,-0.004882813,-0.018417358
6,12,0.073135376,0.029327393,-0.01109314
6,22,0.11956787,0.08798218,-0.01109314
6,29,0.1611023,0.15394592,-0.01109314
6,36,0.1794281,0.1918335,-0.003768921
6,46,0.17576599,0.1942749,0.001113892
6,55,0.1659851,0.17350769,0.001113892
6,66,0.15866089,0.1441803,0.002349854
6,75,0.15255737,0.123413086,0.006011963
6,86,0.14645386,0.11853027,0.007232666
6,96,0.13545227,0.10630798,0.00479126
6,106,0.113464355,0.08432007,0.00479126
6,114,0.07925415,0.044006348,0.007232666
6,126,0.03161621,-0.012207031,0.006011963
6,134,-0.025802612,-0.080596924,0.003570557
6,143,-0.083221436,-0.14535522,-0.002532959
6,153,-0.123535156,-0.19055176,-0.008651733
6,162,-0.1589508,-0.21620178,-0.014755249
6,172,-0.18583679,-0.23088074,-0.017196655
6,181,-0.1907196,-0.24552917,-0.022094727
6,191,-0.1699524,-0.25164795,-0.030639648
6,201,-0.111328125,-0.22843933,-0.026977539
6,210,-0.031906128,-0.15634155,-0.013534546
,,,,
6,4,0.35902405,0.48382568,0.037765503
6,12,0.32115173,0.5070343,0.074401855
6,23,0.22340393,0.4068451,0.06707764
6,34,0.10978699,0.27612305,0.058532715
6,41,0.005966187,0.15762329,0.05732727
6,51,-0.06977844,0.079422,0.05000305
6,60,-0.10154724,0.05255127,0.042648315
6,70,-0.099090576,0.06477356,0.043884277
6,80,-0.074661255,0.08187866,0.04144287
6,89,-0.04168701,0.086761475,0.026779175
6,99,-0.013580322,0.078201294,0.00479126
6,110,0.001083374,0.05621338,-0.008651733
6,121,-1.53E-04,0.03300476,-0.015975952
6,128,-0.014801025,0.009796143,-0.020858765
6,137,-0.038009644,-0.017089844,-0.024536133
6,146,-0.06489563,-0.052490234,-0.029418945
6,157,-0.09664917,-0.0879364,-0.03186035
6,165,-0.13085938,-0.13191223,-0.030639648
6,175,-0.1748352,-0.19299316,-0.029418945
6,184,-0.23226929,-0.27607727,-0.034301758
6,194,-0.272583,-0.3713684,-0.04408264
6,203,-0.2750244,-0.43856812,-0.061187744
6,214,-0.21760559,-0.4544525,-0.08683777
6,230,-0.114974976,-0.3884735,-0.07095337
6,236,0.014526367,-0.26020813,-0.037963867
,,,,
6,2,0.5691681,0.5204773,0.019439697
6,11,0.63513184,0.72084045,0.10861206
6,21,0.5887146,0.67074585,0.12327576
6,28,0.4738617,0.53512573,0.118392944
6,38,0.32603455,0.35310364,0.12573242
6,48,0.1769867,0.22480774,0.12937927
