y,F1,F2,F3,F4
1,97,0.23684692,0.3567505,-0.07829285
1,106,0.1659851,0.26145935,-0.073410034
1,117,0.07069397,0.1307373,-0.07217407
1,126,-0.025802612,-0.031723022,-0.07461548
1,135,-0.118652344,-0.22964478,-0.077056885
1,145,-0.2041626,-0.4288025,-0.07829285
1,154,-0.2848053,-0.58761597,-0.073410034
1,163,-0.3324585,-0.6548157,-0.045303345
1,173,-0.3019104,-0.6352539,-0.02331543
,,,,
1,3,-0.19563293,0.20039368,0.11228943
1,14,-0.6000061,0.27246094,0.22956848
1,21,-0.5254822,0.15029907,0.18803406
1,29,-0.22492981,0.054992676,0.13427734
1,39,-0.013580322,0.050109863,0.086639404
1,48,0.07803345,0.098968506,0.014556885
1,58,0.11956787,0.14294434,-0.045303345
1,68,0.13301086,0.15274048,-0.08439636
1,77,0.12200928,0.12585449,-0.10394287
1,87,0.08657837,0.078201294,-0.105163574
1,98,0.034057617,0.023239136,-0.0978241
1,106,-0.019683838,-0.032958984,-0.085617065
1,116,-0.05633545,-0.09037781,-0.07095337
1,125,-0.08200073,-0.16122437,-0.05873108
1,135,-0.10032654,-0.24188232,-0.048965454
1,146,-0.11376953,-0.31272888,-0.04408264
1,155,-0.12109375,-0.35914612,-0.037963867
1,164,-0.11621094,-0.3493805,-0.017196655
,,,,
1,5,-0.38375854,-0.13191223,0.19413757
1,15,-0.5767975,-0.037841797,0.24543762
1,25,-0.31045532,-0.036605835,0.16114807
1,34,-0.006240845,0.03666687,0.10984802
1,41,0.117126465,0.17350769,0.05609131
1,50,0.14767456,0.31643677,-0.008651733
1,60,0.15988159,0.39219666,-0.06362915
1,69,0.15744019,0.4044037,-0.10638428
1,81,0.13667297,0.3775177,-0.12226868
1,90,0.089019775,0.28222656,-0.113708496
1,98,0.009628296,0.13929749,-0.0978241
1,108,-0.086883545,-0.007324219,-0.08317566
1,124,-0.16262817,-0.12458801,-0.07217407
1,129,-0.19807434,-0.20399475,-0.06729126
1,136,-0.18095398,-0.24920654,-0.06851196
1,146,-0.12721252,-0.26753235,-0.06607056
1,155,-0.06367493,-0.25408936,-0.053848267
1,165,-0.002593994,-0.19299316,-0.029418945
1,175,0.06704712,-0.113586426,-0.029418945
,,,,
1,3,-0.206604,-0.37503052,0.11595154
1,13,-0.6244507,-0.0549469,0.32121277
1,23,-0.5767975,0.0953064,0.30776978
1,35,-0.24449158,0.15638733,0.23446655
1,41,-0.038009644,0.1942749,0.19413757
1,50,-0.023361206,0.2236023,0.13061523
1,59,-0.057556152,0.23580933,0.062210083
1,68,-0.05633545,0.22969055,0.001113892
1,78,-0.027023315,0.22724915,-0.050186157
1,89,-0.003799439,0.22116089,-0.08073425
1,98,-0.003799439,0.2077179,-0.08805847
1,108,-0.019683838,0.18695068,-0.09049988
1,118,-0.038009644,0.15150452,-0.09173584
1,129,-0.042907715,0.10630798,-0.08929443
1,137,-0.034347534,0.057434082,-0.08439636
1,146,-0.029464722,0.001235962,-0.07585144
1,157,-0.044128418,-0.05128479,-0.04286194
1,168,-0.058792114,-0.092819214,0.007232666
1,176,-0.034347534,-0.117248535,0.025558472
,,,,
1,5,-0.43753052,-0.22964478,0.07684326
1,18,-0.5914459,-0.0549469,0.12693787
1,25,-0.39964294,0.011001587,0.047561646
1,36,-0.14797974,0.12463379,0.024337769
1,43,0.026733398,0.25901794,0.01335144
1,52,0.13423157,0.36531067,-0.008651733
1,62,0.18675232,0.3909607,-0.029418945
1,72,0.17576599,0.35430908,-0.053848267
1,81,0.12445068,0.28102112,-0.07461548
1,91,0.07069397,0.18571472,-0.08317566
1,100,0.029174805,0.074539185,-0.09049988
1,109,-0.002593994,-0.029281616,-0.092941284
1,124,-0.025802612,-0.10870361,-0.08929443
1,129,-0.042907715,-0.17710876,-0.07949829
1,138,-0.05633545,-0.22843933,-0.05506897
1,148,-0.074661255,-0.24797058,-0.014755249
1,157,-0.08444214,-0.2394104,0.014556885
,,,,
1,4,-0.06367493,-0.09159851,-0.036743164
1,17,-0.4033203,0.070877075,0.102508545
1,23,-0.48150635,0.13562012,0.13183594
1,36,-0.27870178,0.1441803,0.08174133
1,43,-0.04168701,0.15518188,0.062210083
1,52,0.10734558,0.1918335,0.04510498
1,62,0.1769867,0.23336792,0.003570557
1,71,0.18310547,0.25657654,-0.04408264
1,81,0.13179016,0.2602539,-0.077056885
1,91,0.04748535,0.24557495,-0.08683777
1,100,-0.035568237,0.21136475,-0.07461548
1,110,-0.09788513,0.15274048,-0.056289673
1,120,-0.13085938,0.086761475,-0.037963867
1,129,-0.14186096,0.014678955,-0.025756836
1,138,-0.12721252,-0.061050415,-0.020858765
1,148,-0.099090576,-0.12580872,-0.01965332
1,158,-0.06855774,-0.16978455,-0.013534546
1,167,-0.034347534,-0.16490173,-0.00743103
1,177,0.016967773,-0.13557434,-0.012313843
,,,,
1,9,-0.6061249,0.051330566,0.27111816
1,17,-0.51571655,0.20283508,0.21002197
1,28,-0.16262817,0.27001953,0.12573242
1,37,0.11956787,0.3591919,0.09640503
1,46,0.2539673,0.4361725,0.04144287
1,56,0.30038452,0.46061707,-0.029418945
