y,F1,F2,F3,F4
8,4,0.41888428,0.35554504,0.052444458
8,13,0.3431549,0.508255,0.14404297
8,24,0.24661255,0.4569397,0.12449646
8,30,0.1818695,0.28468323,0.07196045
8,41,0.07925415,0.074539185,0.030441284
8,48,-0.06123352,-0.080596924,-0.001327515
8,58,-0.17851257,-0.16001892,-0.014755249
8,67,-0.22860718,-0.19178772,-0.022094727
8,77,-0.21884155,-0.18811035,-0.024536133
8,88,-0.18463135,-0.15878296,-0.020858765
8,98,-0.14797974,-0.113586426,-0.014755249
8,107,-0.11376953,-0.072052,-0.009872437
8,117,-0.095443726,-0.050048828,-0.003768921
8,127,-0.10398865,-0.072052,-0.002532959
8,136,-0.13574219,-0.12825012,-0.002532959
8,146,-0.18218994,-0.20275879,-0.01109314
8,157,-0.2041626,-0.2662964,-0.025756836
8,165,-0.1589508,-0.2662964,-0.028198242
8,175,-0.083221436,-0.18078613,-0.02331543
8,185,-0.003799439,-0.06472778,-0.00743103
,,,,
8,4,0.60214233,0.8234558,0.20758057
8,8,0.3089447,0.7990265,0.29188538
8,16,0.1977539,0.5632324,0.19413757
8,26,0.10614014,0.24069214,0.118392944
8,35,-0.09788513,-0.085494995,0.042648315
8,44,-0.29335022,-0.28097534,-0.04408264
8,56,-0.3874359,-0.3738098,-0.1002655
8,65,-0.39596558,-0.41412354,-0.13082886
8,75,-0.36054993,-0.3896942,-0.13447571
8,84,-0.3006897,-0.3053894,-0.11126709
8,95,-0.22616577,-0.19911194,-0.081954956
8,104,-0.1565094,-0.10748291,-0.053848267
8,114,-0.10154724,-0.061050415,-0.03919983
8,122,-0.06977844,-0.07571411,-0.04408264
8,133,-0.06367493,-0.12702942,-0.057525635
8,142,-0.067337036,-0.18078613,-0.07095337
8,151,-0.04534912,-0.19178772,-0.07095337
8,161,0.00718689,-0.13801575,-0.052627563
8,170,0.052368164,-0.059829712,-0.03186035
,,,,
8,5,0.4873047,0.59988403,0.11961365
8,14,0.3223877,0.63653564,0.17459106
8,23,0.22219849,0.48138428,0.12205505
8,31,0.13179016,0.21992493,0.07319641
8,41,-0.019683838,-0.0390625,0.016998291
8,50,-0.1589508,-0.18322754,-0.036743164
8,59,-0.22372437,-0.22476196,-0.062408447
8,71,-0.220047,-0.21131897,-0.06484985
8,80,-0.19195557,-0.15145874,-0.050186157
8,89,-0.15162659,-0.062286377,-0.024536133
8,99,-0.11253357,0.013458252,-0.002532959
8,110,-0.09300232,0.03666687,0.006011963
8,120,-0.111328125,-0.007324219,-0.001327515
8,129,-0.16142273,-0.092819214,-0.01965332
8,139,-0.23226929,-0.20275879,-0.03919983
8,146,-0.2909088,-0.3053894,-0.05506897
8,155,-0.2970276,-0.3664856,-0.06729126
8,165,-0.22372437,-0.3518219,-0.069732666
8,174,-0.10032654,-0.2552948,-0.04286194
,,,,
8,5,0.3455963,0.7611542,0.21614075
8,14,0.21607971,0.6829529,0.20880127
8,28,0.18798828,0.47650146,0.14894104
8,32,0.08781433,0.20404053,0.09272766
8,42,-0.07588196,-0.001205444,0.026779175
8,52,-0.20051575,-0.12213135,-0.026977539
8,61,-0.26037598,-0.19911194,-0.05996704
8,71,-0.2701416,-0.22232056,-0.07217407
8,80,-0.2505951,-0.19299316,-0.06851196
8,90,-0.23348999,-0.16246033,-0.05140686
8,100,-0.23472595,-0.15023804,-0.030639648
8,112,-0.2530365,-0.17100525,-0.017196655
8,119,-0.27746582,-0.22964478,-0.01965332
8,129,-0.3019104,-0.31150818,-0.03552246
8,138,-0.3019104,-0.3811493,-0.056289673
8,149,-0.24205017,-0.3945923,-0.06729126
8,158,-0.114974976,-0.3176117,-0.05140686
8,168,0.042617798,-0.16978455,-0.041641235
,,,,
8,4,0.35169983,0.6426544,0.21124268
8,13,0.20263672,0.6145325,0.22467041
8,24,0.15255737,0.45205688,0.17581177
8,31,0.036499023,0.17471313,0.12937927
8,42,-0.1565094,-0.08305359,0.04876709
8,53,-0.3067932,-0.24676514,-0.03552246
8,59,-0.37519836,-0.3383789,-0.09538269
8,69,-0.3825531,-0.3677063,-0.12838745
8,79,-0.35198975,-0.3567047,-0.13815308
8,89,-0.31045532,-0.3334961,-0.13447571
8,98,-0.2640381,-0.31394958,-0.1320343
8,113,-0.20051575,-0.29930115,-0.13082886
8,118,-0.10032654,-0.26509094,-0.12838745
8,128,0.03161621,-0.18443298,-0.10882568
8,138,0.1452179,-0.05128479,-0.085617065
,,,,
8,4,0.61802673,0.7538147,0.13916016
8,9,0.41156006,0.84910583,0.25279236
8,18,0.28329468,0.7122803,0.19779968
8,26,0.16722107,0.45326233,0.13793945
8,35,-0.051452637,0.15150452,0.07807922
8,45,-0.272583,-0.06716919,-0.003768921
8,54,-0.42041016,-0.23820496,-0.077056885
8,66,-0.51937866,-0.38237,-0.1320343
8,75,-0.5816803,-0.47277832,-0.1613617
8,85,-0.6024475,-0.52531433,-0.16748047
8,95,-0.58535767,-0.54608154,-0.1613617
8,106,-0.51815796,-0.53141785,-0.15280151
8,114,-0.37399292,-0.4630127,-0.13327026
8,122,-0.17974854,-0.30418396,-0.085617065
8,135,0.016967773,-0.09526062,-0.07217407
,,,,
8,10,0.7157593,0.9346466,0.14526367
8,17,0.4445343,1.0103912,0.27600098
8,29,0.28082275,0.7965851,0.1855774
8,36,0.16966248,0.49847412,0.114730835
8,45,-0.0209198,0.17350769,0.07319641
8,54,-0.22372437,-0.076934814,-9.16E-05
8,63,-0.37519836,-0.24432373,-0.06729126
8,73,-0.46928406,-0.34571838,-0.11250305
8,84,-0.50105286,-0.39335632,-0.1320343
8,93,-0.48760986,-0.3848114,-0.1161499
8,103,-0.45829773,-0.35792542,-0.08683777
8,113,-0.41796875,-0.3371582,-0.06607056
8,121,-0.3507843,-0.316391,-0.057525635
8,131,-0.23716736,-0.2821808,-0.06484985
8,141,-0.079559326,-0.21376038,-0.07095337
8,150,0.08413696,-0.07571411,-0.06729126
8,161,0.20387268,0.062332153,-0.07095337
,,,,
8,4,0.5740509,0.90164185,0.23934937
8,10,0.36636353,0.8466644,0.27720642
8,24,0.28205872,0.64630127,0.21246338
8,31,0.13789368,0.3567505,0.16848755
8,39,-0.10154724,0.086761475,0.10128784
8,47,-0.30923462,-0.14169312,0.015792847
8,57,-0.43629456,-0.29318237,-0.041641235
8,66,-0.49005127,-0.3713684,-0.057525635
8,78,-0.4961548,-0.40924072,-0.06484985
8,87,-0.48516846,-0.4031372,-0.06729126
8,97,-0.464386,-0.38237,-0.069732666
8,107,-0.42897034,-0.3787079,-0.07949829
8,116,-0.35810852,-0.3872528,-0.0978241
8,125,-0.24081421,-0.368927,-0.113708496
8,134,-0.083221436,-0.27973938,-0.10882568
8,144,0.076812744,-0.13191223,-0.101501465
,,,,
8,4,0.5801697,0.91508484,0.24179077
8,14,0.30282593,0.8625488,0.3309784
8,24,0.20143127,0.61820984,0.23200989
8,34,0.085372925,0.27490234,0.15382385
8,43,-0.16018677,-0.09648132,0.06951904
8,53,-0.38987732,-0.3530426,-0.03552246
8,62,-0.5083771,-0.5021057,-0.11494446
