y,F1,F2,F3,F4
2,4,0.002288818,0.24925232,0.16604614
2,11,-0.038009644,0.21380615,0.21368408
2,19,0.052368164,0.17959595,0.12937927
2,27,0.09880066,0.1783905,0.07684326
2,37,0.048721313,0.17715454,0.082962036
2,46,-0.006240845,0.17959595,0.06097412
2,58,-0.011138916,0.1783905,0.009674072
2,67,0.00352478,0.1625061,-0.022094727
2,77,0.00352478,0.15394592,-0.026977539
2,87,-0.014801025,0.14906311,-0.017196655
2,97,-0.046569824,0.1282959,-0.002532959
2,106,-0.08200073,0.086761475,0.014556885
2,116,-0.10765076,0.026885986,0.021881104
2,125,-0.13085938,-0.045166016,0.02067566
2,134,-0.14430237,-0.11480713,0.024337769
2,144,-0.14553833,-0.16978455,0.034118652
2,153,-0.12475586,-0.21011353,0.04020691
2,162,-0.07344055,-0.23088074,0.04144287
2,172,0.002288818,-0.22599792,0.035324097
2,182,0.08657837,-0.19422913,0.018234253
2,191,0.15866089,-0.15512085,0.01335144
,,,,
2,4,0.012084961,0.22116089,0.070755005
2,14,-0.08078003,0.22236633,0.16726685
2,24,-0.00869751,0.18571472,0.09272766
2,34,0.07069397,0.16983032,-0.014755249
2,43,0.0438385,0.15518188,-0.046524048
2,52,-0.028244019,0.1441803,-0.048965454
2,62,-0.05267334,0.11608887,-0.07217407
2,71,-0.038009644,0.07331848,-0.09906006
2,80,-0.039245605,0.029327393,-0.105163574
2,90,-0.06611633,-0.009765625,-0.08683777
2,100,-0.10398865,-0.052490234,-0.05140686
2,112,-0.1381836,-0.10258484,-0.01965332
2,118,-0.14674377,-0.15390015,-0.004989624
2,127,-0.13209534,-0.19667053,-0.001327515
2,136,-0.10398865,-0.23332214,-0.009872437
2,146,-0.07344055,-0.2552948,-0.01965332
2,155,-0.038009644,-0.23452759,-0.025756836
2,166,-0.002593994,-0.18566895,-0.02331543
,,,,
2,3,0.17088318,0.20159912,-0.01109314
2,16,-0.038009644,0.27490234,0.18681335
2,22,-0.06977844,0.21992493,0.21734619
2,31,0.048721313,0.20283508,0.08908081
2,40,0.104904175,0.1942749,0.003570557
2,49,0.05480957,0.1600647,-0.013534546
2,59,-0.001358032,0.12097168,-0.04774475
2,69,-0.014801025,0.06599426,-0.09538269
2,79,-0.02458191,0.007354736,-0.11494446
2,89,-0.05267334,-0.030517578,-0.10272217
2,98,-0.08810425,-0.050048828,-0.06729126
2,110,-0.12597656,-0.069610596,-0.024536133
2,118,-0.15042114,-0.1038208,0.012115479
2,127,-0.15774536,-0.15757751,0.037765503
2,138,-0.15162659,-0.20887756,0.04510498
2,146,-0.13574219,-0.23088074,0.04020691
2,156,-0.118652344,-0.20767212,0.04876709
2,166,-0.08810425,-0.15145874,0.05609131
,,,,
2,3,0.13423157,0.1466217,-0.020858765
2,8,-0.08810425,0.26879883,0.16236877
2,19,-0.2041626,0.20892334,0.2649994
2,26,-0.083221436,0.14050293,0.14282227
2,35,0.04748535,0.1295166,-0.004989624
2,45,0.057250977,0.10630798,-0.052627563
2,54,0.026733398,0.07575989,-0.07217407
2,65,0.03894043,0.03666687,-0.11859131
2,75,0.060928345,-0.020751953,-0.1454773
2,84,0.05480957,-0.07081604,-0.13327026
2,94,0.02796936,-0.10992432,-0.101501465
2,105,0.002288818,-0.14901733,-0.061187744
2,115,-0.011138916,-0.18566895,-0.026977539
2,124,-0.016021729,-0.21011353,-0.002532959
2,133,-0.02458191,-0.20399475,0.021881104
2,143,-0.034347534,-0.16978455,0.04144287
,,,,
2,4,0.14889526,0.21871948,-0.012313843
2,11,-0.08932495,0.27124023,0.21002197
2,21,-0.1381836,0.18571472,0.23446655
2,28,-0.04901123,0.14173889,0.10128784
2,37,-0.035568237,0.111190796,0.019439697
2,47,-0.090545654,0.08432007,0.001113892
