y,F1,F2,F3,F4
5,68,0.02796936,0.35798645,0.24911499
5,79,-0.030685425,0.32011414,0.21368408
5,83,0.029174805,0.27001953,0.08784485
5,88,0.002288818,0.20527649,0.023117065
5,91,-0.05267334,0.16862488,-0.014755249
5,97,-0.027023315,0.145401,-0.069732666
5,102,0.049926758,0.12463379,-0.10272217
5,105,0.10246277,0.13806152,-0.09173584
5,107,0.10734558,0.17227173,-0.057525635
5,109,0.06825256,0.19548035,-0.015975952
5,110,-1.53E-04,0.19059753,0.02067566
5,113,-0.06855774,0.15882874,0.037765503
5,115,-0.12597656,0.09408569,0.037765503
5,125,-0.1723938,-0.001205444,0.026779175
5,134,-0.21272278,-0.13313293,0.009674072
5,144,-0.23960876,-0.28829956,-0.008651733
5,153,-0.22492981,-0.4288025,-0.025756836
5,162,-0.15774536,-0.49354553,-0.036743164
5,171,-0.06489563,-0.46665955,-0.03186035
5,181,0.03161621,-0.3811493,-0.018417358
,,,,
5,3,0.29182434,-0.006088257,-0.11859131
5,9,0.1782074,0.18571472,0.037765503
5,23,0.09635925,0.20648193,0.098846436
5,29,0.1611023,0.18203735,0.021881104
5,37,0.20751953,0.13197327,-0.045303345
5,46,0.14889526,0.05987549,-0.05140686
5,55,0.06825256,0.003677368,-0.057525635
5,65,0.036499023,-0.05860901,-0.081954956
5,76,0.021850586,-0.12702942,-0.09538269
5,86,-0.009918213,-0.17466736,-0.085617065
5,95,-0.06123352,-0.19299316,-0.052627563
5,110,-0.118652344,-0.18199158,-0.014755249
5,115,-0.16506958,-0.15512085,0.02067566
5,127,-0.19439697,-0.13069153,0.042648315
5,137,-0.20172119,-0.105026245,0.051208496
5,144,-0.20904541,-0.08670044,0.053649902
5,152,-0.21884155,-0.09037781,0.053649902
5,161,-0.22737122,-0.13069153,0.046325684
5,171,-0.22492981,-0.20399475,0.034118652
5,181,-0.2041626,-0.2821808,0.02067566
5,189,-0.15530396,-0.3383789,0.006011963
5,199,-0.078323364,-0.34204102,-0.01109314
5,209,-0.012359619,-0.302948,-0.004989624
,,,,
5,4,0.42622375,0.3885193,-0.012313843
5,21,0.11468506,0.44229126,0.26011658
5,24,-0.047790527,0.33232117,0.2674408
5,29,-0.011138916,0.23580933,0.08908081
5,39,-0.011138916,0.123413086,-0.03186035
5,48,-0.09664917,0.022003174,-0.06607056
5,58,-0.14309692,-0.059829712,-0.10882568
5,69,-0.11253357,-0.13313293,-0.14915466
5,78,-0.06977844,-0.16612244,-0.14303589
5,88,-0.057556152,-0.14901733,-0.10272217
5,98,-0.07221985,-0.11480713,-0.040420532
5,107,-0.11009216,-0.0879364,0.012115479
5,118,-0.15286255,-0.08670044,0.035324097
5,127,-0.18583679,-0.117248535,0.035324097
5,136,-0.20539856,-0.17590332,0.02067566
5,145,-0.21760559,-0.25164795,0.003570557
5,155,-0.20904541,-0.32861328,-0.009872437
5,164,-0.16874695,-0.3811493,-0.022094727
5,173,-0.09788513,-0.39335632,-0.034301758
5,183,-0.011138916,-0.3542633,-0.048965454
5,192,0.062149048,-0.28829956,-0.041641235
5,203,0.117126465,-0.20643616,-0.003768921
5,215,0.1635437,-0.120910645,0.010894775
,,,,
5,3,0.3040619,0.18450928,-0.05873108
5,8,0.10734558,0.39952087,0.18313599
5,18,-0.030685425,0.3934021,0.28456116
5,27,0.024291992,0.36042786,0.16726685
5,35,0.08047485,0.29689026,0.04144287
5,45,0.029174805,0.20039368,-0.008651733
5,55,-0.051452637,0.11853027,-0.041641235
5,64,-0.086883545,0.02079773,-0.09173584
5,74,-0.09176636,-0.068374634,-0.121032715
5,85,-0.10032654,-0.113586426,-0.113708496
5,94,-0.12109375,-0.12213135,-0.081954956
5,106,-0.15286255,-0.12213135,-0.033081055
5,117,-0.18583679,-0.13313293,0.008453369
5,124,-0.2041626,-0.15512085,0.030441284
5,136,-0.21395874,-0.20155334,0.030441284
5,143,-0.21272278,-0.26264954,0.019439697
5,152,-0.20539856,-0.32861328,-0.001327515
5,161,-0.16506958,-0.3884735,-0.028198242
5,171,-0.08444214,-0.4055786,-0.053848267
5,181,0.01940918,-0.3677063,-0.06729126
5,190,0.113464355,-0.29930115,-0.062408447
5,199,0.17454529,-0.2210846,-0.033081055
,,,,
5,3,0.37490845,0.51924133,0.03656006
5,16,0.05116272,0.6145325,0.3040924
5,23,-0.11009216,0.48138428,0.30776978
5,31,-0.09176636,0.33110046,0.13671875
5,40,-0.11621094,0.1625061,0.02067566
5,50,-0.19807434,0.002471924,-0.026977539
5,59,-0.22492981,-0.09526062,-0.077056885
5,68,-0.1882782,-0.16612244,-0.12226868
5,78,-0.154068,-0.20887756,-0.13691711
5,87,-0.14797974,-0.22720337,-0.121032715
5,99,-0.16874695,-0.24064636,-0.08805847
5,108,-0.20539856,-0.26997375,-0.050186157
5,119,-0.24081421,-0.32861328,-0.024536133
5,127,-0.2566986,-0.41168213,-0.01965332
5,137,-0.24449158,-0.4862213,-0.02331543
5,147,-0.20051575,-0.51309204,-0.029418945
5,156,-0.12597656,-0.46910095,-0.026977539
5,166,-0.028244019,-0.36160278,-0.015975952
