y,F1,F2,F3,F4
3,4,0.31871033,0.7782593,0.12817383
3,14,0.2099762,0.69763184,0.27111816
3,22,0.20507812,0.613327,0.17825317
3,32,0.2136383,0.508255,0.027999878
3,41,0.09635925,0.31033325,-0.02331543
3,51,-0.07221985,0.08187866,-0.034301758
3,61,-0.1882782,-0.12336731,-0.07217407
3,71,-0.25793457,-0.2711792,-0.10394287
3,80,-0.2982483,-0.3371582,-0.09661865
3,90,-0.3067932,-0.34571838,-0.07217407
3,99,-0.2835846,-0.34083557,-0.04286194
3,109,-0.24449158,-0.3493805,-0.017196655
3,120,-0.2041626,-0.3738098,-0.003768921
3,129,-0.16506958,-0.3835907,0.003570557
3,138,-0.12721252,-0.3567047,0.02067566
3,147,-0.08444214,-0.289505,0.043884277
3,158,-0.023361206,-0.20767212,0.046325684
,,,,
3,5,0.20143127,0.77337646,0.3554077
3,15,0.1928711,0.6292114,0.24055481
3,25,0.20263672,0.4777069,0.059768677
3,31,0.09269714,0.25169373,-0.022094727
3,41,-0.078323364,0.008560181,-0.056289673
3,50,-0.20904541,-0.19787598,-0.0978241
3,61,-0.2713623,-0.3395996,-0.12715149
3,71,-0.29580688,-0.4031372,-0.11982727
3,80,-0.29335022,-0.42144775,-0.09538269
3,89,-0.2713623,-0.42390442,-0.06729126
3,99,-0.2383728,-0.41412354,-0.041641235
3,110,-0.20172119,-0.3848114,-0.022094727
3,120,-0.16751099,-0.3212738,0.015792847
3,129,-0.12475586,-0.23820496,0.03656006
3,139,-0.067337036,-0.15023804,0.030441284
,,,,
3,2,0.30526733,0.88331604,0.23446655
3,7,0.18554688,0.7306061,0.354187
3,17,0.1940918,0.61209106,0.19902039
3,31,0.20019531,0.45205688,0.027999878
3,36,0.07437134,0.22116089,-0.03186035
3,45,-0.102767944,-0.015853882,-0.053848267
3,55,-0.21760559,-0.20275879,-0.092941284
3,64,-0.25914,-0.32250977,-0.1161499
3,74,-0.26159668,-0.36160278,-0.110061646
3,83,-0.24571228,-0.3542633,-0.08805847
3,93,-0.22128296,-0.3395996,-0.057525635
3,103,-0.1882782,-0.3383789,-0.03186035
3,112,-0.1589508,-0.3518219,-0.018417358
3,122,-0.12721252,-0.36038208,-0.012313843
3,133,-0.095443726,-0.34449768,-0.003768921
3,140,-0.06123352,-0.29318237,0.016998291
3,149,-0.02458191,-0.22843933,0.021881104
,,,,
3,4,0.2087555,0.67562866,0.13793945
3,13,0.14767456,0.58277893,0.24911499
3,25,0.12322998,0.42884827,0.14770508
3,33,0.089019775,0.28590393,0.007232666
3,44,-0.022125244,0.123413086,-0.040420532
3,53,-0.14797974,-0.036605835,-0.046524048
3,60,-0.21760559,-0.16612244,-0.06484985
3,70,-0.23104858,-0.24308777,-0.07949829
3,78,-0.2224884,-0.2711792,-0.07829285
3,88,-0.20539856,-0.26997375,-0.06362915
3,97,-0.18951416,-0.2662964,-0.037963867
3,107,-0.1699524,-0.2577362,-0.017196655
3,116,-0.14797974,-0.24188232,-9.16E-05
3,126,-0.114974976,-0.19055176,0.01335144
3,138,-0.07221985,-0.11480713,0.023117065
3,147,-0.012359619,-0.045166016,0.014556885
,,,,
3,5,0.20751953,0.61698914,0.37495422
