y,F1,F2,F3,F4
9,3,0.97109985,1.16922,0.18681335
9,10,0.8135071,1.0262604,0.25035095
9,22,0.657135,0.8087921,0.14282227
9,30,0.46653748,0.5167999,0.074401855
9,40,0.17210388,0.08798218,0.026779175
9,48,-0.1565094,-0.3078308,-0.01965332
9,58,-0.42041016,-0.5912781,-0.03552246
9,67,-0.5816803,-0.7574463,-0.024536133
9,77,-0.6415405,-0.80996704,-0.003768921
9,86,-0.6427765,-0.8026428,0.018234253
9,97,-0.6244507,-0.76109314,0.035324097
9,107,-0.5682373,-0.7036743,0.03288269
9,115,-0.45217896,-0.6120453,0.009674072
9,130,-0.2848053,-0.46910095,-0.017196655
9,137,-0.095443726,-0.29440308,-0.01965332
9,144,0.076812744,-0.09892273,-0.022094727
9,154,0.2136383,0.07575989,-0.041641235
,,,,
9,4,0.8000641,1.2608337,0.25888062
9,11,0.64979553,1.1496582,0.25035095
9,20,0.54351807,0.99694824,0.16726685
9,30,0.38223267,0.7281647,0.12693787
9,38,0.12322998,0.33598328,0.07563782
9,48,-0.16018677,-0.062286377,0.012115479
9,59,-0.40208435,-0.3945923,-0.034301758
9,69,-0.5731354,-0.5973816,-0.052627563
9,78,-0.6452179,-0.6743469,-0.04774475
9,88,-0.64642334,-0.6890259,-0.03919983
9,98,-0.6183319,-0.6853485,-0.040420532
9,108,-0.56703186,-0.6755829,-0.046524048
9,117,-0.48638916,-0.6584778,-0.061187744
9,127,-0.38009644,-0.62060547,-0.07949829
9,137,-0.24937439,-0.53507996,-0.105163574
9,145,-0.086883545,-0.3945923,-0.11859131
9,155,0.08781433,-0.21499634,-0.09538269
9,164,0.23320007,-0.037841797,-0.056289673
,,,,
9,4,1.1653748,1.5345001,0.17337036
9,13,1.033432,1.5650482,0.29432678
9,23,0.9442444,1.4636536,0.20758057
9,33,0.8831482,1.2706146,0.12937927
9,41,0.6632385,0.86987305,0.07563782
9,51,0.3040619,0.37875366,0.007232666
9,60,-0.079559326,-0.09770203,-0.056289673
9,70,-0.44117737,-0.5265198,-0.09906006
9,79,-0.7344055,-0.8356323,-0.13327026
9,89,-0.8968811,-0.98957825,-0.17356873
9,99,-0.9347687,-1.0347595,-0.1662445
9,109,-0.8968811,-1.0127869,-0.11126709
9,120,-0.79548645,-0.9345703,-0.053848267
9,128,-0.6085663,-0.7672119,-0.01965332
9,139,-0.35198975,-0.5069885,-0.01965332
9,146,-0.086883545,-0.20643616,-0.017196655
,,,,
9,5,1.291214,1.6664581,0.12449646
9,14,1.1189423,1.6749878,0.27111816
9,30,0.99798584,1.5015106,0.18803406
9,41,0.8855896,1.2791595,0.118392944
9,44,0.6058197,0.86987305,0.090286255
9,52,0.1953125,0.36286926,0.042648315
9,61,-0.22982788,-0.11236572,-0.015975952
9,71,-0.6000061,-0.53263855,-0.056289673
9,80,-0.8785553,-0.83439636,-0.06607056
9,90,-1.0447083,-1.0188751,-0.05996704
9,99,-1.130249,-1.1325073,-0.05996704
9,109,-1.1607819,-1.199707,-0.069732666
9,122,-1.116806,-1.226593,-0.08439636
9,130,-1.0105133,-1.2082367,-0.1002655
9,139,-0.8577881,-1.1276093,-0.11859131
9,149,-0.6684265,-0.97125244,-0.13691711
9,158,-0.43141174,-0.7415619,-0.15403748
9,168,-0.18339539,-0.46665955,-0.14183044
,,,,
9,3,1.0835114,1.386673,0.16114807
9,8,0.9857788,1.4367676,0.25035095
9,18,0.9185791,1.3695679,0.16970825
9,25,0.8306122,1.181427,0.11105347
9,34,0.5874939,0.8087921,0.0683136
9,43,0.2295227,0.35064697,-9.16E-05
9,52,-0.14553833,-0.092819214,-0.062408447
9,63,-0.48150635,-0.4862213,-0.0978241
9,73,-0.74417114,-0.7647705,-0.10272217
9,82,-0.9078827,-0.9321289,-0.09173584
9,92,-0.9860687,-1.0201111,-0.081954956
9,103,-0.9897461,-1.0494385,-0.07217407
9,112,-0.9200897,-1.0188751,-0.05996704
9,123,-0.77960205,-0.9089203,-0.05506897
9,130,-0.5816803,-0.71099854,-0.053848267
9,139,-0.33366394,-0.43856812,-0.05506897
9,147,-0.08200073,-0.16001892,-0.03552246
,,,,
9,3,1.13237,1.4294434,0.14649963
9,9,0.93444824,1.3097076,0.25279236
9,22,0.76097107,1.0690308,0.15016174
9,28,0.6107025,0.7648163,0.06463623
9,37,0.34925842,0.31643677,0.009674072
9,48,0.024291992,-0.1038208,-0.040420532
9,56,-0.2713623,-0.4129181,-0.06484985
9,67,-0.49250793,-0.6242676,-0.053848267
9,77,-0.60124207,-0.6963501,-0.029418945
9,86,-0.6244507,-0.6890259,-0.00743103
9,95,-0.6134491,-0.67678833,0.006011963
9,105,-0.5792389,-0.6633606,0.002349854
9,116,-0.5095978,-0.6218262,-0.012313843
9,126,-0.39720154,-0.53507996,-0.034301758
9,134,-0.2383728,-0.3896942,-0.061187744
9,143,-0.06367493,-0.20399475,-0.06729126
,,,,
9,4,1.0712891,1.5357208,0.2857666
9,16,0.9613342,1.4502106,0.22834778
9,23,0.8892517,1.2718353,0.15016174
9,32,0.66934204,0.8869934,0.106170654
9,40,0.31015015,0.38363647,0.04144287
9,50,-0.07344055,-0.1038208,-0.029418945
9,60,-0.4192047,-0.5424042,-0.07461548
9,71,-0.69407654,-0.86006165,-0.092941284
9,80,-0.86634827,-1.0286713,-0.101501465
9,89,-0.9384155,-1.1044006,-0.1161499
9,99,-0.9372101,-1.1092834,-0.11982727
9,108,-0.86634827,-1.0482025,-0.10638428
9,120,-0.7221832,-0.9187012,-0.08929443
9,127,-0.5230408,-0.71343994,-0.07585144
9,138,-0.2835846,-0.44589233,-0.081954956
9,145,-0.03678894,-0.16001892,-0.077056885
9,155,0.15988159,0.09286499,-0.056289673
,,,,
9,3,0.99186707,1.3231354,0.2063446
9,15,0.8550415,1.2828217,0.23934937
9,22,0.7707367,1.1594238,0.16848755
9,32,0.63635254,0.8759918,0.12327576
9,40,0.37124634,0.4386139,0.070755005
9,50,0.042617798,-0.008529663,0.00479126
9,60,-0.2811432,-0.41412354,-0.04774475
9,69,-0.5560303,-0.7244415,-0.07829285
9,79,-0.73561096,-0.8905945,-0.085617065
9,89,-0.8199158,-0.9528961,-0.08439636
9,98,-0.82969666,-0.96269226,-0.08073425
9,109,-0.77227783,-0.91259766,-0.069732666
9,121,-0.6415405,-0.7867584,-0.057525635
9,126,-0.44851685,-0.5973816,-0.062408447
9,134,-0.220047,-0.368927,-0.07949829
9,143,-0.012359619,-0.13191223,-0.053848267
9,153,0.14767456,0.07575989,-0.04408264
,,,,
9,4,1.198349,1.466095,0.12817383
9,13,1.0163116,1.34758,0.2197876
9,22,0.8281708,1.088562,0.118392944
9,34,0.6094818,0.72084045,0.031677246
9,41,0.2588501,0.18203735,-0.03186035
9,51,-0.16262817,-0.3652649,-0.092941284
9,60,-0.5486908,-0.81118774,-0.13082886
9,70,-0.8235779,-1.106842,-0.13447571
9,79,-0.9469757,-1.199707,-0.11982727
9,89,-0.9530945,-1.1434937,-0.094177246
9,99,-0.87490845,-0.97369385,-0.05996704
9,109,-0.6977539,-0.7085571,-0.037963867
