y,F1,F2,F3,F4
7,4,0.23075867,-0.25897217,0.04876709
7,12,0.17454529,-0.15512085,0.09272766
7,17,0.12322998,-0.13679504,0.12693787
7,27,0.097579956,-0.21131897,0.16114807
7,35,0.05848694,-0.29562378,0.17459106
7,44,-0.011138916,-0.3567047,0.15382385
7,53,-0.08566284,-0.3860321,0.107406616
7,62,-0.14918518,-0.368927,0.04876709
7,71,-0.19563293,-0.31028748,-0.001327515
7,81,-0.22616577,-0.22232056,-0.04286194
7,90,-0.24937439,-0.11480713,-0.07095337
7,101,-0.2689209,-0.02684021,-0.07829285
7,111,-0.2835846,0.013458252,-0.07095337
7,121,-0.2848053,0.017120361,-0.06362915
7,130,-0.27870178,0.012237549,-0.06484985
7,138,-0.2738037,0.009796143,-0.07949829
7,148,-0.26037598,0.012237549,-0.09661865
7,157,-0.22616577,-0.012207031,-0.113708496
,,,,
7,5,0.005966187,-0.16856384,0.20880127
7,24,-0.19807434,-0.059829712,0.24179077
7,28,-0.21272278,0.012237549,0.24667358
7,33,-0.1699524,0.08920288,0.24543762
7,45,-0.15162659,0.16127014,0.19779968
7,52,-0.12597656,0.19792175,0.12327576
7,62,-0.08078003,0.16127014,0.04876709
7,73,-0.058792114,0.08432007,-0.022094727
7,82,-0.07588196,0.012237549,-0.07585144
7,92,-0.12475586,-0.03540039,-0.10394287
7,101,-0.18463135,-0.061050415,-0.110061646
7,112,-0.22737122,-0.07081604,-0.1002655
7,121,-0.24449158,-0.07449341,-0.09173584
7,128,-0.2505951,-0.059829712,-0.08073425
7,138,-0.24571228,-0.03540039,-0.07829285
7,147,-0.206604,-0.047607422,-0.08317566
7,156,-0.10765076,-0.117248535,-0.09173584
7,166,0.013290405,-0.14169312,-0.081954956
7,176,0.08413696,-0.076934814,-0.06484985
,,,,
7,3,0.33459473,-0.3322754,0.09272766
7,8,0.05480957,0.008560181,0.21734619
7,23,-0.12721252,0.1124115,0.21858215
7,27,-0.14186096,0.15882874,0.21734619
7,35,-0.12109375,0.14906311,0.21858215
7,43,-0.10643005,0.1270752,0.17337036
7,53,-0.060012817,0.0977478,0.090286255
7,72,-0.003799439,0.034225464,0.001113892
7,79,0.009628296,-0.010971069,-0.07829285
7,83,-0.017242432,-0.02319336,-0.13327026
7,93,-0.06489563,-0.018295288,-0.15280151
7,103,-0.114974976,-0.002426148,-0.15280151
7,114,-0.14430237,0.019561768,-0.13815308
7,122,-0.16262817,0.058654785,-0.12226868
7,131,-0.19316101,0.10874939,-0.110061646
7,141,-0.22982788,0.1270752,-0.101501465
7,150,-0.2530365,0.086761475,-0.105163574
7,160,-0.24081421,-0.025634766,-0.11126709
